order_id,customer_id,seller_id,product_id,order_timestamp,order_date,order_hour,category,city,state,age_group,loyalty_tier,seller_tier,platform,payment_method,base_amount,discount_amount,delivery_fee,final_amount,status,delivery_time_hrs,rating
1,11640,287,236,2024-06-10 19:40:51,2024-06-10,19,Beauty,Bangalore,Karnataka,18-24,gold,B,App,UPI,251.4,18.12,29,262.28,delivered,45.1,5
2,8202,702,1106,2024-06-08 12:31:50,2024-06-08,12,Beauty,Mumbai,Maharashtra,45-54,silver,C,App,Credit Card,2195.5,67.65,0,2127.85,delivered,8.14,4
3,4114,208,1434,2024-06-01 08:05:55,2024-06-01,8,Food,Chennai,Tamil Nadu,35-44,silver,A,App,UPI,398.84,11.5,59,446.34,delivered,5.16,4
4,6379,132,1511,2024-06-05 05:35:38,2024-06-05,5,Food,Hyderabad,Telangana,25-34,bronze,A,Website,UPI,389.85,2.4,59,446.45,delivered,87.66,2
5,3342,378,315,2024-06-05 17:22:58,2024-06-05,17,Electronics,Chennai,Tamil Nadu,35-44,bronze,B,App,COD,59310.83,239.67,0,59071.16,delivered,30.88,4
6,3950,295,1547,2024-06-01 07:37:03,2024-06-01,7,Food,Mumbai,Maharashtra,18-24,platinum,C,App,UPI,147.15,18.44,59,187.71,delivered,29.92,5
7,4394,616,1194,2024-06-06 18:46:49,2024-06-06,18,Grocery,Delhi,Delhi,18-24,silver,C,App,UPI,231.32,13.48,59,276.84,delivered,18.08,5
8,10344,742,539,2024-06-09 14:49:40,2024-06-09,14,Food,Mumbai,Maharashtra,45-54,bronze,B,App,UPI,745.61,1.05,0,744.56,delivered,40.46,4
9,1298,635,1477,2024-06-07 00:55:21,2024-06-07,0,Fashion,Hyderabad,Telangana,25-34,bronze,A,Website,Debit Card,1573.05,17.98,0,1555.07,delivered,43.84,5
10,3612,699,613,2024-06-14 12:17:16,2024-06-14,12,Grocery,Pune,Maharashtra,45-54,silver,B,Website,Debit Card,1675.9,76.83,0,1599.07,delivered,36.09,3
11,8682,133,257,2024-06-08 20:25:56,2024-06-08,20,Beauty,Mumbai,Maharashtra,18-24,gold,B,Website,Debit Card,1123.62,121.6,0,1002.02,delivered,11.42,5
12,10765,285,496,2024-06-15 14:26:38,2024-06-15,14,Fashion,Bangalore,Karnataka,35-44,bronze,B,App,UPI,3167.54,90.44,0,3077.1,delivered,6.61,5
13,512,323,937,2024-06-12 19:13:01,2024-06-12,19,Grocery,Chennai,Tamil Nadu,25-34,silver,B,Website,UPI,1743.47,103.5,0,1639.97,delivered,71.63,3
14,7762,627,832,2024-06-02 20:37:44,2024-06-02,20,Books,Chennai,Tamil Nadu,55+,bronze,B,App,Debit Card,247.46,1.2,39,285.26,delivered,33.61,5
15,2117,627,1978,2024-06-10 20:49:50,2024-06-10,20,Grocery,Bangalore,Karnataka,35-44,silver,B,Website,Credit Card,454.77,20.35,49,483.42,delivered,7.12,5
16,2562,436,948,2024-06-04 19:58:41,2024-06-04,19,Sports,Delhi,Delhi,35-44,gold,A,App,Credit Card,11193.94,977.66,0,10216.28,delivered,19.81,5
17,833,213,1279,2024-06-06 20:01:06,2024-06-06,20,Sports,Bangalore,Karnataka,25-34,bronze,A,App,UPI,8217.28,211.83,0,8005.45,delivered,12.06,5
18,5688,157,1520,2024-06-11 17:46:59,2024-06-11,17,Food,Ahmedabad,Gujarat,55+,bronze,B,App,Debit Card,467.56,11.85,29,484.71,delivered,28.81,5
